"Timestamp","LEVEL","ROLE","STAGE","ENHANCE","EASE","ATTITUDE","CHARACTERISTICS","SUPPORT","EXTERNAL","SIZE","EXPERTISE","ADVANTAGES","COMPATIBLE","ADDITIONAL"
"2019/06/24 7:22:17 AM MDT","Federal","Management / Jr Officer","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","Cloud computing would not enhance my job.","Cloud infrastructure would not enhance my job.","Leadership like to talk about change, but any real change does not take place.  Leadership does not understand the problem and is afraid of the solution.","Anti innovation and lost in the 1980s.","no support","no influence","Unknown","Unknown","Not sure we use SharePoint and have remote access, so the requirement may not exist for cloud technology","As mention above our work does not require access all the time from any device.",""
"2019/06/24 7:57:00 AM MDT","Federal","Executive / Snr Officer","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","Using any device log into a center service provider would reduce the resource burden.","Not needing to transport personal and work equipment would make life easier.","The leadership likes adopting better solutions but the resource management, bureaucracy and financial approvals are significant hurtles.","Supportive, but other factors inside and outside the organization are less reactive.","The main obstacle of a fully cloud infrastructure is what information is house/maintained outside of the organization and it's control.","Little, but if solutions are found in the private sector those could fit into this organization. ","The number of personnel required to maintain IT in this organization is miss understood by leaders outside of the IT world. I believe the size of an IT is like correct, but with limited resource with a company, supporting sections are usually a lower priority than those who do the job.  ","We have a limited number if cloud technologist, priority is put elsewhere","Reduced resource burden","Low, due the lack of control of the infrastructure and information, I see limited implementation in this organization.",""
"2019/06/24 7:58:56 AM MDT","Federal","Executive / Snr Officer","No discussion has occurred","don't know enough about it","don't know","good","good","don't know","don't know","big","don't know","don't know enough about is","don't know",""
"2019/06/24 8:28:45 AM MDT","Federal","Executive / Snr Officer","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","I'm not sure.","Once it was implemented, it probably would. My job would be harder during the planning and implementation phases.","Leadership likes change, policy makers do not.","Leadership likes innovation, policy makers do not.","There is a group at ADM(IM) who is looking at adopting cloud infrastructure as well as a mandate from Treasury Board. So officially there is a lot, however, I think it confuses people so many people are unofficially avoiding it.","I'm not sure it does, unless you count the Treasury Board policy, in which case, the only reason DND is looking at cloud computing is because of the new policy.","All of my organization is allocated to the IT department, we are the IT department.","Not high unless someone has done some studying on their own. I do think they have the technical knowledge to come up to speed quickly if/when there is a requirement.","I'm not sure what advantages there would be.","I'm not sure.",""
"2019/06/24 10:03:11 AM MDT","Federal","Executive / Snr Officer","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","It has the potential to significantly enhance my job with the caveat that it would require significant fiscal and time investment to conceive, design, build and implement.","It has the potential to significantly enhance my job with the caveat that it would require significant fiscal and time investment to conceive, design, build and implement.","Very supportive with the caveat that it be inexpensive and easily implemented. In terms of cloud computing, it will take time to persuade the executive levels that the return merits the investment.","Very supportive with the caveat that it be inexpensive and easily implemented.","The concept is nascent at this time.","In general, I do not believe it influences the organization.","I am not significantly aware to describe the size of our IT department relative to those in OGDs and/or industry. What I would say is that there is a perception within the executive levels that our IT department does not deliver on the capabilities which it truly values (Near Real-TimeCommon Operating Picture, Targeting, interoperability with allies, etc).","I think that our IT department would require a massive change in culture over the course of years to effectively implement cloud technology.","It could bring major advantages in terms of agility and flexibility of connectivity in a global sense.","It could be very compatible but again would require a massive change in culture over the course of years to effectively implement.",""
"2019/06/24 1:26:12 PM MDT","Federal","Executive / Snr Officer","No discussion has occurred","I am not certain how it would enhance my job","Access to information on a reliable source","somewhat sceptical to change","The leadership in this organization is receptive to innovation and willing to engage it within our current structure if there is a benefit","We have integrated technology, Shared Services Canada organizations who could support cloud in our organization","Not at all","We have a 2 person IT team in our organization","They are both more than qualified to support Cloud technology","Cloud technology is a proven technology that would provide our organization with an viable means for storage on UNCLASSIFIED material.","Cloud technology would have to be properly integrated in our systems for proper security ","I would think that our organization (Department of National Defense) would put up barriers for utilizing Cloud Technology solely for security reasons."
"2019/06/25 6:21:06 AM MDT","Federal","Executive / Snr Officer","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","Improved reliability; improved services; improved capabilities","Would likely save time by using better tools, with faster access to those tools (i.e. better software services being provided by cloud computing).","Positive and accepting of constant change. Change is an integral part of our organization, and it is accepted; as long as it is meaningful, and hopefully lasting for a period.","Embracing innovation as a word, but in practice falls short. Many within greater Government of Canada tend to be risk averse, and too focused on process, which stunts growth and innovation.","Shared Services Canada has lead for providing cloud infrastructure; IT engineers in DND still seem to be learning how to best use cloud computing infrastructure. Overall there seems to be higher-level Government support, with risk averse questions, asking whether there are potential issues with regards to where the data is stored (must be in Canada).","Federal Government of Canada is expected to keep up with society and technological innovation, therefore, we are expected to be more efficient in using taxpayers' money. We are expected to innovate and be more efficient, constantly.","Barely adequate. Seemingly far behind on work tickets and integrating new technologies. Not sure if it is from lack of human resources, or inefficient use of them.","Not strong at all, because we have not fully adopted it yet. Nascent.","Again, more reliable, more redundant services, faster (hopefully). ","For day-to-day office work, could greatly enhance operations. However, when military personnel are deployed in distance parts of the world, it would likely have no impact, no help. Might even be a detriment if very remote / high latency data connection is dependent on cloud services hosted in Canada. Need remote servers and systems set up, close to remote sites.","Related to cloud computing, we had a Thin Client (Virtually Hosted Desktop) trial that went straight into implementation. Many thin clients were deployed, dependant on all the desktops hosted in ""the cloud"", and the service was horrible. As a result of fielding this capability without upgrading the network infrastructure, many end users saw thin clients and aggregating computing power remotely as a failure. Need to consider the whole capability and project before launching (as always)."
"2019/06/25 7:14:06 AM MDT","Municipal","Technical / NCM","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","It would allow more focus on development and less on supporting infrastructure","Easier to deploy; code access from anywhere.","Very resistant to change; a lot of fear tied to decision making.","Very poor; a tendency to shy away from things they don't understand.","Minimal; afraid of having infrastructure and data off premises.","Unknown","15-20","Very exploratory at the moment.","I would have more control of code and deployment.","It could be very seamless; just having server + data in another location.","I think ""cloud"" is a term gets thrown around as a buzz word; management level not too interested in understanding exactly what that means."
"2019/06/25 9:41:41 AM MDT","Federal","Management / Jr Officer","Some initial discussion has occurred around the possibility of adopting cloud infrastructure","I would hope it would create less outages.","Easier to share work.","Change is the only constant","Positive","I don't know","Potential security risk? Can't say..","Small","We have the competence, but the authorities and security advisors aren't so inclined.","It would have everything to do with the implementation. It could go horribly wrong...","Anything that isn't sensitive in nature would work well, otherwise not so much.",""
"2019/06/25 10:20:16 AM MDT","Municipal","Technical / NCM","A decision has been made to move to cloud infrastructure but implementation is pending or at a preliminary stage","Yes","DR solutions become much easier to implement","Careful","Eager","Not known","More and more services are digital, the Public wants to do more digitally. The pace at which new services have to be offered and the reliability expected once they are implemented will push for a faster adoption of cloud based services.","Average","Some training will be needed.","Ability to more easily scale up, or to spin up new servers for new services will improve.","Hard to say.",""
